collection	dc.contributor.author	dc.date.issued	dc.description.abstract[es_ES]	dc.description[es_ES]	dc.language.iso[es_ES]	dc.publisher	dc.publisher.country	dc.relation.ispartofseries[es_ES]	dc.rights.uri[es_ES]	dc.rights[*]	dc.rights[es_ES]	dc.subject.ocde	dc.subject[es_ES]	dc.title[es_ES]	dc.type.other	dc.type[es_ES]
"123456789/36711"	""	""	""	"1 fotografía: sepia; 149x170 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0001"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Rímac"	"Vista general del Jr. Trujillo. Al fondo se aprecia la iglesia de San Lázaro [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: sepia; 240x182 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0001"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Rímac"	"Vista general del Jr. Trujillo. Al fondo se aprecia la iglesia de San Ildefonso [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1874"	""	"1 fotografía: b/n; 179x239 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0002"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. de la Unión. Calle Núñez"	"Local donde funcionó el Club Nacional y el Jockey Club del Perú. Al lado se aprecia parte de  la fachada de la desaparecida Casa de Olavide [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1874"	""	"1 fotografía: sepia; 170x115 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0003"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza del Congreso"	"Monumento al Libertador Simón Bolívar en la Plaza del Congreso (antes llamada Plaza Bolívar); al fondo se aprecian las torres de la iglesia de la Caridad después de su tranformación a fines del siglo XIX. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1885"	""	"1 fotografía: b/n; 180x240 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0004"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. de la Unión"	"Vista parcial de la calle de Espaderos [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1890"	""	"1 fotografía: b/n; 219x162 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0005"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Vista general del callejón de Petateros, hoy  Pasaje Olaya [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1899"	""	"1 fotografía: b/n; 220x160 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0006"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Cercanías de la Plaza Dos de Mayo"	"Vista de la calle de Malambito, al fondo el monumento al Combate de Dos de Mayo [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1902"	""	"1 fotografía: b/n; 241x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0007"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Vista de la calle de Monserrate; se aprecia una carreta con forraje [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: sepia; 241x182 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0008"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Rímac"	"Pileta al final de la Alameda de los Descalzos [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1872"	""	"1 fotografía: sepia; 179x234 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0009"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima. Jr. de la Unión"	"Vista parcial de la calle Palacio, se aprecia un aspecto del Arco del Puente [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1860"	""	"1 fotografía: sepia; 197x150 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0010"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Esquina de los Portales de Botoneros y Escribanos (calles Mantas y Mercaderes) [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1910"	""	"1 fotografía: b/n; 218x157 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0011"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Casa de la familia Olavegoya. Esq. de las calles Concepción y Trapitos [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1904"	""	"1 fotografía: b/n; 212x135 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0012"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Esquina de las calles Boza y San Cristóbal del Tren [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1925"	""	"1 fotografía: b/n; 240x160 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0013"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Jardines de la Plazuela de la Exposición. Al fondo el restaurante del Zoológico. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1885"	""	"1 fotografía: sepia; 179x239 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0014"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Aspecto de la calle de Espaderos (Jr. de la Unión). Se aprecia un policía uniformado [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1899"	"Calle Belén. Cercanías del teatro Colón y vecindad del Hotel Bolívar"	"1 fotografía: b/n; 219x160 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0015"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	""	"Vista de la Plaza \"La Micheo\", hoy desaparecida. Sus terrenos forman parte de la Plaza San Martín [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1960"	""	"1 fotografía: b/n; 239x153 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0016"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Rímac"	"Aspecto del Paseo de Aguas [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1900"	""	"1 fotografía: b/n; 219x170 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0017"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Rímac"	"Vista general de la estación del Tramways de Lima, hoy desaparecido [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1898"	""	"1 fotografía: sepia; 164x228 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0018"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Vista general del callejón de Petateros (hoy pasaje Olaya), visto desde la calle Plateros de San Pedro. Sepia [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: b/n; 239x129 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0019"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza del Congreso"	"Monumento al Libertador Simón Bolívar en la Plaza del Congreso (antes llamada Plaza Bolívar); al fondo se aprecia  la iglesia de la Caridad [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1906"	""	"1 fotografía: b/n; 239x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0020"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Costumbre de \"Padrino sebo\" en bautizo. Bautisterio de San Sebastián [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1885"	""	"1 fotografía: sepia; 239x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0021"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Fachada de la Estación de la Encarnación. Ferrocarril Inglés de Lima a Chorrillos. Hoy Plaza San Martín. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1889"	""	"1 fotografía: b/n; 215x130 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0022"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima. Jr. de la Unión"	"Vista general de la calle de Mercaderes [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: b/n; 159x199 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0023"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Vista general de la calle de Bodegones [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: b/n; 172x213 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0024"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Vista de la esquina de la calle Mantas y Portales [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1870"	""	"1 fotografía: sepia; 241x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0025"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Esq. Calles Judios y Bodegones."	"Vista de una de las esquinas del Hotel Francia e Inglaterra [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: b/n; 217x153 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0026"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Rímac"	"Vista del río Rímac y alrededores, se ve el puente de Piedra [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: b/n; 218x158 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0027"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Personas disfrazadas en carnaval. Al fondo se aprecian los balcones de la Casa del Oidor [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1917"	""	"1 fotografía: b/n; 160x159 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0028"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Desalojo del callejón de Petateros (hoy pasaje Olaya) [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1860"	""	"1 fotografía: sepia; 230x177 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0029"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima. Jr. de la Unión"	"Vista general de la calle de Juan Simón, hoy edificio Rímac. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1908"	""	"1 fotografía: b/n; 217x150 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0030"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Vista general de la calle de Ferrocarril [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
